Tag_Number,Release_Da,Latitude_bad,Longitude_bad,Species_Na,Length,Weight,Latitude_F,Longitude_
S264351,8/5/18,34.02S,151.39E,BLUE SHARK,180,0,-34,151.6666667
S162445,3/16/02,33.22S,152.08E,STRIPED MARLIN,0,80,-33.33333333,152.1666667
S225701,3/11/06,33.22S,152.08E,BLACK MARLIN,0,120,-33.33333333,152.1666667
A404214,1/20/02,33.20S,152.16E,YELLOWFIN TUNA,0,15,-33.33333333,152.25
B034710,3/21/10,33.20S,152.06E,STRIPED MARLIN,0,60,-33.33333333,152.0833333
S261676,8/5/18,33.58S,151.45E,BLUE SHARK,0,130,-34,151.75
A374829,11/18/06,33.48S,151.44E,YELLOWFIN TUNA,50,8,-33.83333333,151.75
S248387,8/9/14,33.48S,151.44E,BLUE SHARK,0,80,-33.83333333,151.75
A238306,9/18/04,34.00S,151.40E,MAKO SHARK,0,10,-34,151.6666667
A508640,10/5/08,34.02S,151.39E,ALBACORE,85,6,-34,151.6666667
B084000,3/24/18,34.00S,151.40E,BLUE MARLIN,250,140,-34,151.6666667
S194863,1/7/04,33.49S,151.34E,STRIPED MARLIN,0,120,-33.83333333,151.5833333
A469511,3/16/14,33.41S,151.47E,DOLPHINFISH,64,1,-33.66666667,151.75
S165282,2/18/01,33.44S,151.39E,STRIPED MARLIN,0,60,-33.75,151.6666667
S187412,1/26/02,33.44S,151.43E,STRIPED MARLIN,0,100,-33.75,151.75
B024058,4/6/08,33.40S,151.50E,STRIPED MARLIN,0,85,-33.66666667,151.8333333
B027225,1/27/08,34.01S,151.44E,BLACK MARLIN,0,70,-34,151.75
A212677,2/10/18,33.50S,151.22E,STRIPED MARLIN,0,70,-33.83333333,151.3333333
S259416,8/7/16,33.47S,151.20E,MAKO SHARK,0,140,-33.75,151.3333333
A163414,3/26/00,33.44S,151.25E,DOLPHINFISH,70,2,-33.75,151.4166667
A405556,3/27/01,33.46S,151.25E,DOLPHINFISH,38,0,-33.75,151.4166667
B002913,2/6/05,33.44S,151.23E,BLACK MARLIN,160,50,-33.75,151.4166667
S187862,1/27/02,33.44S,151.27E,STRIPED MARLIN,0,70,-33.75,151.4166667
A525383,3/28/15,34.38S,150.59E,DOLPHINFISH,60,0,-34.66666667,151
A537726,1/3/15,33.30S,151.38E,DOLPHINFISH,60,1,-33.5,151.6666667
A544170,12/21/14,33.37S,151.35E,DOLPHINFISH,60,0,-33.58333333,151.5833333
D012816,3/14/09,33.37S,151.33E,DOLPHINFISH,62,0,-33.58333333,151.5833333
S166801,2/3/01,33.34S,151.28E,STRIPED MARLIN,0,70,-33.58333333,151.5
B015587,4/13/08,33.56S,151.26E,STRIPED MARLIN,0,70,-33.91666667,151.4166667
A582642,2/8/14,34.32S,151.13E,DOLPHINFISH,57,2,-34.5,151.25
B002365,1/3/03,34.28S,151.18E,STRIPED MARLIN,250,80,-34.5,151.3333333
B156493,4/17/20,34.28S,151.18E,STRIPED MARLIN,200,100,-34.5,151.3333333
B166410,3/12/23,34.32S,151.05E,BLUE MARLIN,170,90,-34.5,151.0833333
B068255,1/26/12,34.18S,151.02E,BLACK MARLIN,220,90,-34.33333333,151
B134452,2/5/18,34.26S,150.54E,BLUE MARLIN,275,180,-34.41666667,150.9166667
B135814,3/1/20,34.47S,151.10E,STRIPED MARLIN,210,0,-34.75,151.1666667
