Tag_Number,Release_Da,Latitude,Longitude,Species_Na,Length,Weight,Latitude_F,Longitude_
B138391,4/7/18,37.03S,150.33333333,BLACK MARLIN,230.0,120.0,-37.08333333,150.33333333300004
A541517,4/24/11,38.17S,140.5,SOUTHERN BLUEFIN TUNA,85.0,16.0,-38.25,140.5000000000001
A578511,5/21/22,38.08S,140.66666667,SOUTHERN BLUEFIN TUNA,75.0,8.0,-38.16666667,140.66666666700007
A579862,4/12/14,38.49S,141.91666667,SOUTHERN BLUEFIN TUNA,90.0,14.0,-38.83333333,141.91666666700007
A494827,7/16/15,41.13S,148.66666667,SOUTHERN BLUEFIN TUNA,90.0,15.0,-41.25,148.66666666700007
A547023,2/15/20,43.01S,148.08333333,SOUTHERN BLUEFIN TUNA,80.0,15.0,-43.0,148.08333333300004
A555389,2/28/12,35.40S,136.66666667,SOUTHERN BLUEFIN TUNA,92.0,16.0,-35.66666667,136.66666666700007
B166007,9/4/19,13.04S,141.25,SAILFISH,150.0,15.0,-13.08333333,141.2500000000001
B100166,10/15/14,14.27S,145.5,BLACK MARLIN,0.0,90.0,-14.41666667,145.5000000000001
A531351,1/27/11,33.50S,132.66666667,SOUTHERN BLUEFIN TUNA,98.0,19.2,-33.83333333,132.66666666700007
B111341,3/10/19,26.36S,153.5,BLACK MARLIN,130.0,20.0,-26.58333333,153.5000000000001
A506913,11/30/08,26.50S,153.33333333,DOLPHINFISH,130.0,9.0,-26.83333333,153.33333333300004
A566029,6/22/14,36.31S,150.91666667,YELLOWFIN TUNA,95.0,15.0,-36.5,150.91666666700007
B159690,2/28/21,32.42S,152.75,BLACK MARLIN,120.0,30.0,-32.66666667,152.7500000000001
A606996,4/21/18,35.13S,135.58333333,SOUTHERN BLUEFIN TUNA,64.0,5.6,-35.25,135.58333333300004
A593914,4/15/15,35.18S,135.58333333,SOUTHERN BLUEFIN TUNA,87.0,13.6,-35.33333333,135.58333333300004
A488500,2/28/09,43.15S,148.25,ALBACORE,35.0,2.0,-43.25,148.2500000000001
B093240,3/17/14,21.41S,114.0,BLACK MARLIN,170.0,45.0,-21.66666667,114.00000000000011
B124843,2/25/18,07.00S,147.25,BLUE MARLIN,220.0,90.0,-7.0,147.2500000000001
