OBJECTID,Tag_Number,Release_Date,Latitude,Longitude,Species_Name,Length,Weight,Latitude_FiveNM,Longitude_FiveNM,Moon_Phase,Wind_Direction_10m,Rain_mm,Is_Raining,Sea_Surface_Temp_C
128,A122907,1137196800000,-30.24999999917831,153.33333333300004,DOLPHINFISH,50.0,2.0,-30.25,153.33333333,0.4902278230736639,30.0,0.0,False,
129,A122908,1137196800000,-30.24999999917831,153.33333333300004,DOLPHINFISH,50.0,2.0,-30.25,153.33333333,0.4902278230736639,30.0,0.0,False,
130,A122909,1147478400000,-30.24999999917831,153.33333333300004,DOLPHINFISH,60.0,2.0,-30.25,153.33333333,0.519947695230889,187.0,0.0,False,
131,A122910,1112486400000,-30.24999999917831,153.33333333300004,DOLPHINFISH,0.0,4.0,-30.25,153.33333333,0.8053548530151152,2.0,0.0,False,
132,A122962,1137196800000,-30.24999999917831,153.33333333300004,DOLPHINFISH,50.0,2.0,-30.25,153.33333333,0.4902278230736639,30.0,0.0,False,
133,A122963,1147478400000,-30.24999999917831,153.33333333300004,DOLPHINFISH,60.0,2.0,-30.25,153.33333333,0.519947695230889,187.0,0.0,False,
134,A122964,1147478400000,-30.24999999917831,153.33333333300004,DOLPHINFISH,60.0,2.0,-30.25,153.33333333,0.519947695230889,187.0,0.0,False,
135,A122965,1147478400000,-30.24999999917831,153.33333333300004,DOLPHINFISH,60.0,2.0,-30.25,153.33333333,0.519947695230889,187.0,0.0,False,
136,A122966,1147478400000,-30.24999999917831,153.33333333300004,DOLPHINFISH,60.0,2.0,-30.25,153.33333333,0.519947695230889,187.0,0.0,False,
137,A122967,1147478400000,-30.24999999917831,153.33333333300004,DOLPHINFISH,60.0,2.0,-30.25,153.33333333,0.519947695230889,187.0,0.0,False,
138,A122969,1147478400000,-30.24999999917831,153.33333333300004,DOLPHINFISH,60.0,2.0,-30.25,153.33333333,0.519947695230889,187.0,0.0,False,
139,A123524,982972800000,-32.583333332143376,152.33333333300004,DOLPHINFISH,,,-32.58333333,152.33333333,0.0444297407152839,63.0,0.0,False,
140,A123526,982972800000,-32.583333332143376,152.33333333300004,DOLPHINFISH,,,-32.58333333,152.33333333,0.0444297407152839,63.0,0.0,False,
142,A123582,1140912000000,-32.666666666142184,152.66666666700007,TIGER SHARK,160.0,50.0,-32.66666667,152.66666667,0.9463450878027452,21.0,0.0,False,
143,A123590,1141516800000,-33.083333332136604,152.5000000000001,TIGER SHARK,130.0,30.0,-33.08333333,152.5,0.1833874332237584,117.0,0.0,False,
144,A125729,948412800000,-36.416666666098294,150.33333333300004,STRIPED MARLIN,259.0,120.0,-36.41666667,150.33333333,0.4991528595145265,128.0,0.0,False,
145,A125730,979344000000,-36.49999999909748,150.2500000000001,STRIPED MARLIN,180.0,45.0,-36.5,150.25,0.6221756681892046,165.0,0.0,False,
147,A127860,1015113600000,-32.6666666661422,152.41666666700007,YELLOWFIN TUNA,60.0,3.0,-32.66666667,152.41666667,0.6415372402319875,81.0,0.0,False,
148,A128129,1139702400000,-26.999999999236096,153.33333333300004,DOLPHINFISH,38.0,0.0,-27.0,153.33333333,0.4722603969607187,70.0,0.0,False,
149,A130444,1114214400000,-35.749999999104986,150.5000000000001,YELLOWFIN TUNA,0.0,9.0,-35.75,150.5,0.4826186970751531,117.0,0.0,False,
150,A130445,1114300800000,-35.749999999104986,150.5000000000001,YELLOWFIN TUNA,0.0,7.0,-35.75,150.5,0.516481889278155,67.0,0.0,False,
151,A130446,1114214400000,-35.749999999104986,150.5000000000001,YELLOWFIN TUNA,0.0,6.0,-35.75,150.5,0.4826186970751531,117.0,0.0,False,
152,A130447,1114214400000,-35.749999999104986,150.5000000000001,YELLOWFIN TUNA,0.0,7.0,-35.75,150.5,0.4826186970751531,117.0,0.0,False,
153,A130448,1114300800000,-36.08333333210161,150.41666666700007,YELLOWFIN TUNA,0.0,6.0,-36.08333333,150.41666667,0.516481889278155,50.0,0.0,False,
154,A133103,990835200000,-38.33333333208182,141.2500000000001,SOUTHERN BLUEFIN TUNA,,15.0,-38.33333333,141.25,0.125980231188456,13.0,0.0,False,
155,A133105,1021680000000,-38.33333333208182,141.2500000000001,SOUTHERN BLUEFIN TUNA,,13.0,-38.33333333,141.25,0.2151398476601313,9.0,0.7,True,
156,A133106,990835200000,-38.33333333208182,141.2500000000001,SOUTHERN BLUEFIN TUNA,,15.0,-38.33333333,141.25,0.125980231188456,13.0,0.0,False,
158,A133220,1014508800000,-35.583333332106754,137.16666666700007,WHALER SHARK,100.0,12.0,-35.58333333,137.16666667,0.4044948948109743,97.0,0.0,False,
164,A135894,975801600000,-11.666666666625783,136.66666666700007,SPANISH MACKEREL,,6.0,-11.66666667,136.66666667,0.233784787866127,23.0,0.2,True,
165,A135895,975801600000,-11.666666666625783,136.66666666700007,WHALER SHARK,,20.0,-11.66666667,136.66666667,0.233784787866127,23.0,0.2,True,
166,A135896,975715200000,-11.666666666625783,136.66666666700007,WHALER SHARK,,32.0,-11.66666667,136.66666667,0.1999215956631251,28.0,0.9,True,
167,A135897,975801600000,-11.666666666625783,136.66666666700007,SPANISH MACKEREL,,4.0,-11.66666667,136.66666667,0.233784787866127,23.0,0.2,True,
168,A135898,975715200000,-12.083333332613188,136.58333333300004,SPANISH MACKEREL,,5.0,-12.08333333,136.58333333,0.1999215956631251,31.0,0.7,True,
169,A135899,975715200000,-12.083333332613188,136.58333333300004,SPANISH MACKEREL,,10.0,-12.08333333,136.58333333,0.1999215956631251,31.0,0.7,True,
170,A135900,975715200000,-12.083333332613188,136.58333333300004,SPANISH MACKEREL,,9.0,-12.08333333,136.58333333,0.1999215956631251,31.0,0.7,True,
171,A136021,1111190400000,-33.58333333213011,151.5000000000001,DOLPHINFISH,45.0,0.0,-33.58333333,151.5,0.2974069699700869,170.0,0.0,False,
